rank,site,state,operator,K_MGD,W_over_K,r,PF,WCI,WCI_pct,C_avg_over_K_pct,household_equivalent
1,Lebanon,IN,Meta,4.6,0.276087,0.77,6.3,1.339298,1.339298,0.212587,3261.1314
2,Council Bluffs,IA,Google,30.0,0.128707,0.716,6.5,0.599003,0.599003,0.092154,9219.579354
3,Mayes County,OK,Google,10.0,0.303438,0.752,2.5,0.570464,0.570464,0.228186,7609.601544
4,The Dalles,OR,Google,4.5,0.280546,0.784,2.21,0.486085,0.486085,0.219948,3300.704293
5,Douglas County,GA,Google,8.0,0.151949,0.826,2.5,0.313774,0.313774,0.12551,3348.427882
6,Wisconsin Site,WI,Microsoft,2.0,0.0115,0.77,30.0,0.26565,0.26565,0.008855,59.05986
7,Botetourt County,VA,Google,28.0,0.071429,0.77,2.5,0.1375,0.1375,0.055,5135.64
9,Memphis,TN,xAI,258.0,0.003876,0.77,4.5,0.01343,0.01343,0.002984,2567.82
8,Midlothian,TX,Google,36.0,0.016808,0.825,2.5,0.034666,0.034666,0.013866,1664.725036
10,Henderson,NV,Google,900.0,0.001095,0.576,2.5,0.001577,0.001577,0.000631,1893.186686
