site,state,operator,W_ML_d,r,K_ML_d,PF,W_over_K,C_avg_ML_d,C_peak_ML_d,WCI,WCI_pct,risk_class,dominant_factor,HH_equiv,population,DC_community_pct,WCI_siting,WCI_tech,WCI_mgmt,delta_siting_pct,delta_tech_pct,delta_mgmt_pct,breach_year_13pct,breach_year_24pct,WCI_2024_mod,WCI_2025_mod,WCI_2026_mod,WCI_2027_mod,WCI_2028_mod,WCI_2029_mod,WCI_2030_mod,WCI_2031_mod,WCI_2032_mod,WCI_2033_mod,WCI_2034_mod,WCI_2035_mod,WCI_2024_hi,WCI_2025_hi,WCI_2026_hi,WCI_2027_hi,WCI_2028_hi,WCI_2029_hi,WCI_2030_hi,WCI_2031_hi,WCI_2032_hi,WCI_2033_hi,WCI_2034_hi,WCI_2035_hi
Lebanon,IN,Meta,4.8074707,0.77,17.412886,6.3,0.2760869565217391,3.701752439,23.3210403657,1.3392978260869564,133.92978260869563,OVERLOAD,management (PF),3261.13139977026,18000,67.87224860652732,1.0044733695652173,0.43483695652173904,0.42517391304347824,25.0,67.53246753246754,68.25396825396825,2024.0,2024,1.3392978260869564,1.5134065434782606,1.7101493941304342,1.9324688153673906,2.183689761365151,2.4675694303426203,2.788353456287161,3.1508394056044913,3.560448528333075,4.023306837016374,4.546336725828502,5.137360500186207,1.3392978260869564,1.660729304347826,2.0593043373913043,2.553537378365217,3.166386349172869,3.9263190729743576,4.868635650488203,6.037108206605372,7.486014176190662,9.28265757847642,11.510495397310759,14.273014292665344
Council Bluffs,IA,Google,14.6162902121834,0.716,113.5623,6.5,0.12870724009802023,10.465263791923315,68.02421464750155,0.5990034954161861,59.90034954161862,SEVERE,management (PF),9219.579353593803,63000,54.82353078696273,0.4492526215621396,0.20914926515928287,0.18430876782036495,25.000000000000007,65.08379888268156,69.23076923076923,2029.0,2027,0.5990034954161861,0.6768739498202903,0.764867563296928,0.8643003465255286,0.9766593915738472,1.103625112478447,1.2470963771006451,1.4092189061237288,1.5924173639198136,1.799431621229389,2.0333577319892093,2.297694237147806,0.5990034954161861,0.7427643343160708,0.9210277745519279,1.1420744404443903,1.416172306151044,1.7560536596272946,2.1775065379378455,2.7001081070429285,3.348134052733231,4.151686225389207,5.148090919482615,6.383632740158444
Mayes County,OK,Google,11.486379192334,0.752,37.8541,2.5,0.30343817954551816,8.637757152635169,21.594392881587922,0.5704637775455741,57.04637775455741,SEVERE,technology (r),7609.601543656525,41000,69.53036426495348,0.4278478331591806,0.18964886221594884,0.4563710220364593,24.99999999999999,66.75531914893617,19.999999999999996,2029.0,2027,0.5704637775455741,0.6446240686264987,0.7284251975479434,0.823120473229176,0.9301261347489688,1.0510425322663346,1.187678061460958,1.3420762094508825,1.5165461166794971,1.7136971118478315,1.9364777363880492,2.1882198421184955,0.5704637775455741,0.7073750841565118,0.8771451043540748,1.0876599293990525,1.348698312454825,1.6723859074439833,2.0737585252305393,2.5714605712858685,3.1886111083944773,3.9538777744091513,4.902808440267347,6.079482465931512
The Dalles,OR,Google,4.77891854893908,0.784,17.034345,2.21,0.28054607024450195,3.7466721423682388,8.280145434633807,0.4860853431484339,48.60853431484339,HIGH,technology (r),3300.70429329474,16000,77.28284122046696,0.3645640073613254,0.15500170381008732,0.4398962381433791,25.000000000000007,68.11224489795919,9.502262443438914,2030.0,2028,0.4860853431484339,0.5492764377577303,0.6206823746662351,0.7013710833728456,0.7925493242113155,0.8955807363587863,1.0120062320854284,1.143567042256534,1.2922307577498835,1.4602207562573681,1.6500494545708257,1.8645558836650329,0.4860853431484339,0.602745825504058,0.747404823625032,0.9267819812950395,1.149209656805849,1.4250199744392527,1.7670247683046736,2.191110712697795,2.716977283745266,3.3690518318441294,4.177624271486721,5.180254096643534
Douglas County,GA,Google,4.60150581793292,0.826,30.28328,2.5,0.15194872609350504,3.8008438056125917,9.50210951403148,0.3137741193830879,31.377411938308793,HIGH,technology (r),3348.427882296187,146000,8.591807508505338,0.2353305895373159,0.09496795380844066,0.25101929550647034,25.00000000000001,69.73365617433414,19.999999999999996,2034.0,2030,0.3137741193830879,0.3545647549028893,0.40065817304026485,0.4527437355354993,0.5116004211551142,0.5781084759052789,0.6532625777729651,0.7381867128834505,0.834150985558299,0.9425906136808778,1.0651273934593917,1.2035939546091126,0.3137741193830879,0.389079908035029,0.482459085963436,0.5982492665946606,0.7418290905773791,0.91986807231595,1.1406364096717783,1.4143891479930049,1.753842543511326,2.1747647539540442,2.6967082949030146,3.3439182856797385
Wisconsin Site,WI,Microsoft,0.08706443,0.77,7.57082,30.0,0.0115,0.0670396111,2.0111883329999998,0.26565,26.565,HIGH,management (PF),59.05985999583935,12000,1.8437736826182616,0.1992375,0.08625,0.01771,24.999999999999993,67.53246753246754,93.33333333333333,2035.0,2031,0.26565,0.30018449999999997,0.3392084849999999,0.3833055880499999,0.43313531449649983,0.48944290538104473,0.5530704830805805,0.624969645881056,0.7062156998455932,0.7980237408255202,0.9017668271328376,1.0189965146601065,0.26565,0.329406,0.40846344,0.5064946656,0.6280533853439999,0.7787861978265599,0.9656948853049344,1.1974616577781185,1.484852455644867,1.841217044999635,2.283109135799547,2.831055328391439
Botetourt County,VA,Google,7.57082,0.77,105.99148,2.5,0.07142857142857144,5.8295314000000005,14.573828500000001,0.1375,13.750000000000002,MODERATE,technology (r),5135.639999638205,34000,56.58640458163464,0.10312500000000001,0.04464285714285715,0.11000000000000001,25.0,67.53246753246754,19.999999999999996,2041.0,2034,0.1375,0.15537499999999999,0.17557374999999997,0.19839833749999997,0.22419012137499994,0.2533348371537499,0.28626836598373734,0.32348325356162316,0.36553607652463416,0.4130557664728366,0.46675301611430525,0.5274309082091649,0.1375,0.1705,0.21142000000000002,0.2621608,0.32507939199999997,0.40309844608,0.49984207313920004,0.619804170692608,0.768557171658834,0.9530108928569541,1.181733507142623,1.4653495488568526
Midlothian,TX,Google,2.29048596851472,0.825,136.27476,2.5,0.016807851787922577,1.8896509240246437,4.7241273100616095,0.03466619431259031,3.4666194312590313,MINIMAL,technology (r),1664.7250361794527,40000,15.591179241127426,0.025999645734442738,0.01050490736745161,0.02773295545007225,24.99999999999999,69.69696969696969,20.0,2052.0,2040,0.03466619431259031,0.03917279957322705,0.04426526351774656,0.050019747775053615,0.056522314985810576,0.06387021593396594,0.0721733440053815,0.0815558787260811,0.09215814296047163,0.10413870154533293,0.1176767327462262,0.1329747080032356,0.03466619431259031,0.042986080947611985,0.05330274037503887,0.06609539806504819,0.08195829360065975,0.1016282840648181,0.12601907224037445,0.1562636495780643,0.19376692547679975,0.24027098759123164,0.29793602461312724,0.36944067052027785
Memphis,TN,xAI,3.78541,0.77,976.63578,4.5,0.0038759689922480624,2.9147657000000002,13.116445650000001,0.013430232558139537,1.3430232558139537,MINIMAL,technology (r),2567.8199998191026,630000,1.526934726806014,0.010072674418604651,0.004360465116279071,0.0059689922480620165,25.00000000000001,67.53246753246754,55.55555555555556,2060.0,2045,0.013430232558139537,0.015176162790697676,0.01714906395348837,0.01937844226744186,0.0218976397622093,0.024744332931296503,0.027961096212365047,0.0315960387199725,0.03570352375356892,0.04034498184153288,0.04558982948093214,0.05151650731345332,0.013430232558139537,0.016653488372093024,0.020650325581395353,0.025606403720930235,0.03175194061395349,0.03937240636130233,0.04882178388801489,0.06053901202113846,0.0750683749062117,0.09308478488370249,0.11542513325579108,0.14312716523718097
Henderson,NV,Google,3.73086926762491,0.576,3406.869,2.5,0.0010951020622233815,2.148980698151948,5.372451745379871,0.0015769469696016694,0.15769469696016694,MINIMAL,technology (r),1893.1866859623708,320000,2.2163579807672735,0.001182710227201252,0.0006844387888896135,0.0012615575756813355,25.000000000000007,56.59722222222222,20.000000000000007,,2054,0.0015769469696016694,0.0017819500756498863,0.002013603585484371,0.0022753720515973396,0.0025711704183049933,0.0029054225726846423,0.0032831275071336452,0.003709934083061019,0.004192225513858951,0.004737214830660614,0.005353052758646493,0.006048949617270536,0.0015769469696016694,0.00195541424230607,0.002424713660459527,0.003006644938969813,0.003728239724322568,0.004623017258159985,0.005732541400118381,0.007108351336146792,0.008814355656822023,0.010929801014459308,0.01355295325792954,0.016805662039832633
